scene_id,frame_id,scene_description,qa_category,question,answer,cam_front,question_length,answer_length
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Based on the observations of <c2,CAM_BACK,864.2,468.3>, what are possible actions to be taken by <c1,CAM_BACK,1088.3,497.5>? What is the reason?","The action is to turn left, the reason is there is no safety issue.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,19,14
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"What object would consider <c1,CAM_BACK,1088.3,497.5> to be most relevant to its decision?","<c2,CAM_BACK,864.2,468.3>.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"What object would consider <c2,CAM_BACK,864.2,468.3> to be most relevant to its decision?",None.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Are <c1,CAM_BACK,1088.3,497.5> and <c3,CAM_FRONT,1043.2,82.2> traffic signs?",Only one of the boxes is a traffic sign.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,6,9
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Will <c3,CAM_FRONT,1043.2,82.2> be in the moving direction of <c1,CAM_BACK,1088.3,497.5>?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,9,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Would <c1,CAM_BACK,1088.3,497.5> take <c3,CAM_FRONT,1043.2,82.2> into account?",Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,6,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"What object would consider <c1,CAM_BACK,1088.3,497.5> to be most relevant to its decision?","<c2,CAM_BACK,864.2,468.3>.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"What object would consider <c3,CAM_FRONT,1043.2,82.2> to be most relevant to its decision?",The ego vehicle.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,3
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"Except for the ego vehicle, what object would consider <c3,CAM_FRONT,1043.2,82.2> to be most relevant to its decision?","<c1,CAM_BACK,1088.3,497.5>.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,17,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",prediction,"What kind of traffic sign is <c3,CAM_FRONT,1043.2,82.2>?",Traffic light.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,7,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"Is <c1,CAM_BACK,1088.3,497.5> an object that the ego vehicle should consider in the current scene?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,14,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"What actions could the ego vehicle take based on <c1,CAM_BACK,1088.3,497.5>? Why take this action and what's the probability?","The action is to keep going at the same speed. The reason is to follow the traffic rules, which has a high probability.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,18,23
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"What is the probability of colliding with <c1,CAM_BACK,1088.3,497.5> after the ego vehicle goes straight and keeps the same speed?",Low.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,19,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"What actions taken by the ego vehicle can lead to a collision with <c1,CAM_BACK,1088.3,497.5>?",No such action will lead to a collision.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,14,8
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"Is <c2,CAM_BACK,864.2,468.3> an object that the ego vehicle should consider in the current scene?",No.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,14,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"What actions could the ego vehicle take based on <c2,CAM_BACK,864.2,468.3>? Why take this action and what's the probability?","The action is to keep going at the same speed. The reason is to follow the traffic rules, which has a high probability.",../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,18,23
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"What is the probability of colliding with <c2,CAM_BACK,864.2,468.3> after the ego vehicle accelerates and goes straight?",Low.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,16,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"What actions taken by the ego vehicle can lead to a collision with <c2,CAM_BACK,864.2,468.3>?",Back up.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,14,2
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"Is it necessary for the ego vehicle to take <c3,CAM_FRONT,1043.2,82.2> into account?",Yes.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,12,1
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,"Based on <c3,CAM_FRONT,1043.2,82.2> in this scene, what is the most possible action of the ego vehicle?",Keep going at the same speed.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,16,6
f0f120e4d4b0441da90ec53b16ee169d,4a0798f849ca477ab18009c3a20b7df2,"The ego vehicle proceeds through the intersection, continuing along the current roadway.",planning,What is the traffic signal that the ego vehicle should pay attention to?,Green light.,../nuscenes/samples/CAM_FRONT/n008-2018-09-18-13-10-39-0400__CAM_FRONT__1537291010612404.jpg,13,2
